GPS Time, Device Time, Longitude, Latitude,GPS Speed(km/h), Horizontal Dilution of Precision, Altitude(m), Bearing, Gravity X(G), Gravity Y(G), Gravity Z(G),0-100kph Time(s),0-100mph Time(s),0-200kph Time(s),0-30mph Time(s),0-60mph Time(s),1/4 mile time(s),1/8 mile time(s),100-0kph Time(s),40-60mph Time(s),60-0mph Time(s),60-120mph Time(s),60-130mph Time(s),60-80mph Time(s),80-100mph Time(s),80-120kph Time(s),Absolute Throttle Position B(%),Acceleration Sensor(Total)(g),Acceleration Sensor(X axis)(g),Acceleration Sensor(Y axis)(g),Acceleration Sensor(Z axis)(g),Accelerator PedalPosition D(%),Accelerator PedalPosition E(%),Accelerator PedalPosition F(%),Actual engine % torque(%),Air Fuel Ratio(Commanded)(:1),Air Fuel Ratio(Measured)(:1),Ambient air temp(°F),Average trip speed(whilst moving only)(km/h),Average trip speed(whilst stopped or moving)(km/h),Barometer (on Android device)(mb),Barometric pressure (from vehicle)(kpa),Catalyst Temperature (Bank 1 Sensor 1)(°F),Catalyst Temperature (Bank 1 Sensor 2)(°F),Catalyst Temperature (Bank 2 Sensor 1)(°F),Catalyst Temperature (Bank 2 Sensor 2)(°F),Commanded Equivalence Ratio(lambda),CO₂ in g/km (Average)(g/km),CO₂ in g/km (Instantaneous)(g/km),Distance to empty (Estimated)(km),Distance travelled since codes cleared(km),Distance travelled with MIL/CEL lit(km),DPF Temperature(°F),Drivers demand engine % torque(%),EGR Commanded(%),EGR Error(%),Engine Coolant Temperature(°F),Engine kW (At the wheels)(kW),Engine Load(%),Engine Load(Absolute)(%),Engine Oil Temperature(°F),Engine reference torque(Nm),Engine RPM(rpm),Ethanol Fuel %(%),Evap System Vapour Pressure(Pa),Exhaust Gas Temperature 1(°F),Exhaust Gas Temperature 2(°F),Fuel cost (trip)(cost),Fuel flow rate/hour(l/hr),Fuel flow rate/minute(cc/min),Fuel Level (From Engine ECU)(%),Fuel pressure(kpa),Fuel Rail Pressure(kpa),Fuel Rail Pressure (relative to manifold vacuum)(kpa),Fuel Rate (direct from ECU)(L/m),Fuel Remaining (Calculated from vehicle profile)(%),Fuel Trim Bank 1 Long Term(%),Fuel trim bank 1 sensor 1(%),Fuel trim bank 1 sensor 2(%),Fuel trim bank 1 sensor 3(%),Fuel trim bank 1 sensor 4(%),Fuel Trim Bank 1 Short Term(%),Fuel Trim Bank 2 Long Term(%),Fuel trim bank 2 sensor 1(%),Fuel trim bank 2 sensor 2(%),Fuel trim bank 2 sensor 3(%),Fuel trim bank 2 sensor 4(%),Fuel Trim Bank 2 Short Term(%),Fuel used (trip)(l),GPS Accuracy(m),GPS Altitude(m),GPS Bearing(°),GPS Latitude(°),GPS Longitude(°),GPS Satellites,GPS vs OBD Speed difference(km/h),Horsepower (At the wheels)(hp),Hybrid Battery Charge (%)(%),Intake Air Temperature(°F),Intake Manifold Pressure(kpa),Kilometers Per Litre(Instant)(kpl),Kilometers Per Litre(Long Term Average)(kpl),Litres Per 100 Kilometer(Instant)(l/100km),Litres Per 100 Kilometer(Long Term Average)(l/100km),Mass Air Flow Rate(g/s),Miles Per Gallon(Instant)(mpg),Miles Per Gallon(Long Term Average)(mpg),O2 Sensor1 Equivalence Ratio,O2 Sensor1 Equivalence Ratio(alternate),O2 Sensor1 wide-range Voltage,O2 Sensor2 Equivalence Ratio,O2 Sensor2 wide-range Voltage,O2 Sensor3 Equivalence Ratio,O2 Sensor3 wide-range Voltage,O2 Sensor4 Equivalence Ratio,O2 Sensor4 wide-range Voltage,O2 Sensor5 Equivalence Ratio,O2 Sensor5 wide-range Voltage,O2 Sensor6 Equivalence Ratio,O2 Sensor6 wide-range Voltage,O2 Sensor7 Equivalence Ratio,O2 Sensor7 wide-range Voltage,O2 Sensor8 Equivalence Ratio,O2 Sensor8 wide-range Voltage,O2 Volts Bank 1 sensor 1(V),O2 Volts Bank 1 sensor 2(V),O2 Volts Bank 1 sensor 3(V),O2 Volts Bank 1 sensor 4(V),O2 Volts Bank 2 sensor 1(V),O2 Volts Bank 2 sensor 2(V),O2 Volts Bank 2 sensor 3(V),O2 Volts Bank 2 sensor 4(V),Relative Accelerator Pedal Position(%),Relative Throttle Position(%),Run time since engine start(s),Speed (GPS)(km/h),Speed (OBD)(km/h),Throttle Position(Manifold)(%),Timing Advance(°),Torque(ft-lb),Transmission Temperature(Method 1)(°F),Transmission Temperature(Method 2)(°F),Trip average KPL(kpl),Trip average Litres/100 KM(l/100km),Trip average MPG(mpg),Trip Distance(km),Trip distance (stored in vehicle profile)(km),Trip Time(Since journey start)(s),Trip time(whilst moving)(s),Trip time(whilst stationary)(s),Turbo Boost & Vacuum Gauge(bar),Voltage (Control Module)(V),Voltage (OBD Adapter)(V),Volumetric Efficiency (Calculated)(%)
Tue Mar 29 06:58:19 PDT 2016,29-Mar-2016 06:58:18.846,-121.46168616,38.41304312,25.20257,4.0,-51.0,109.5,0.97774833,0.1429269,-0.16026784,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.09638535,1.09008789,-0.00219727,-0.21376951,-,-,-,-,-,-,-,27,27,1010.1539917,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,-51,109.5,38.41304312,-121.46168616,14,1.79743004,-,-,-,-,-,13.57959938,-,7.36392355,-,-,31.94147491,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,25.20256996,27,-,-,-,-,-,-,-,-,0.00352917,8548.79296875,0,0.47499999,0,-,-,-,-
Tue Mar 29 06:58:20 PDT 2016,29-Mar-2016 06:58:19.840,-121.46159541,38.41302748,26.605192,5.0,-43.0,105.6,0.9919739,-0.1946106,-0.23320924,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-0.23775232,0.7199707,0.12182618,-0.31777343,-,-,-,-,-,-,55.39999938,27.33333397,27.33333397,1010.1539917,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,130.99999738,-,-,-,-,-,-,-,-,-,-,-,-,-,46.66666794,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,-43,105.59999847,38.41302748,-121.46159541,14,2.79743004,-,-,64.39999914,-,-,13.57959938,-,7.36392355,-,-,31.94147491,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,26.60519218,28,-,-,-,-,-,-,-,-,0.00548472,8548.79492188,1,1.29400003,0,-,-,-,-
Tue Mar 29 06:58:21 PDT 2016,29-Mar-2016 06:58:20.841,-121.46151637,38.41300544,26.676023,6.0,-44.0,107.1,0.9850769,-0.039978027,0.0075439503,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-0.0336393,0.95166016,-0.02001953,0.06479493,-,-,-,-,-,-,55.39999938,28,28,1010.1539917,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,130.99999738,2.44452691,38.03921509,-,-,-,1329,-,-,-,-,-,-,-,46.66666794,-,-,-,-,-,-,-,-,-,-,1.5625,-,-,-,-,-,-,-,6,-44,107.09999847,38.41300544,-121.46151637,12,3.39480782,3.27816463,-,64.39999914,62,-,13.57959938,-,7.36392355,-,-,31.94147491,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,26.67602348,30,-,-,12.95479298,-,-,-,-,-,0.01606167,8548.8046875,2,2.43700004,0,-0.3935293,-,-,-
Tue Mar 29 06:58:22 PDT 2016,29-Mar-2016 06:58:21.841,-121.46142582,38.41295985,29.052088,6.0,-44.0,112.5,0.9503479,-0.044952393,0.017889407,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-0.05914064,0.92822266,-0.03759766,0.04697265,-,-,-,-,-,-,55.39999938,28,28,1010.17999268,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,130.99999738,2.44452691,38.03921509,-,-,-,1329,-,-,-,-,-,-,-,46.66666794,-,-,-,-,-,-,-0.78125,-,-,-,1.5625,-,-,-,-,-,-,-,6,-44,112.5,38.41295985,-121.46142582,8,3.39480782,3.27816463,-,64.39999914,62,-,13.57959938,-,7.36392355,-,-,31.94147491,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.85999995,0.83999997,-,-,-,-,-,-,-,-,-,29.05208778,30,12.94117641,17.5,12.95479298,-,-,-,-,-,0.01606167,8548.8046875,3,3.0769999,0,-0.3935293,14.28299999,-,-
Tue Mar 29 06:58:23 PDT 2016,29-Mar-2016 06:58:22.842,-121.46135416,38.4129302,29.232088,4.0,-45.0,113.5,0.9726911,-0.058035713,0.02922015,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.03049787,0.98510742,-0.05664062,0.19589846,-,-,-,-,-,-,53.59999943,28,28,1010.16699219,100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,130.99999738,2.44452691,38.03921509,-,-,-,1329,-,-,-,-,-,-,-,46.66666794,-,-,-,-,-,-,-0.78125,-,-,-,1.5625,-,-3.90625,-,-,-,-,-,4,-45,113.5,38.4129302,-121.46135416,10,3.39480782,3.27816463,-,64.39999914,62,-,13.57959938,-,7.36392355,-,-,31.94147491,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.85999995,0.83999997,-,-,0.75999999,0.81999999,-,-,-,-,-,29.23208809,30,12.94117641,17.5,12.95479298,-,-,-,-,-,0.01606167,8548.8046875,4,4.23899984,0,-0.3935293,14.28299999,-,-
Tue Mar 29 06:58:24 PDT 2016,29-Mar-2016 06:58:23.844,-121.46125739,38.41287238,29.052355,4.0,-48.0,115.5,0.97663224,-0.050327845,0.07766463,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-0.02379465,0.93872076,-0.03100586,0.16489258,-,-,-,-,-,-,53.59999943,28,28,1010.19299316,100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,130.99999738,2.44452691,38.03921509,-,-,-,1329,-,-,-,-,-,-,-,46.66666794,-,-,-,-,-,-3.90625,-0.78125,-,-,-,1.5625,-6.25,-3.90625,-,-,-,4.6875,-,4,-48,115.5,38.41287238,-121.46125739,13,3.39480782,3.27816463,-,64.39999914,62,-,13.57959938,-,7.36392355,-,-,31.94147491,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.85999995,0.83999997,-,-,0.75999999,0.81999999,-,-,-,-,-,29.05235481,30,12.94117641,17.5,12.95479298,-,-,-,-,-,0.01606167,8548.8046875,5,5.07800007,0,-0.3935293,14.28299999,12.89999962,-
Tue Mar 29 06:58:25 PDT 2016,29-Mar-2016 06:58:24.854,-121.46118838,38.41284058,27.57621,4.0,-50.0,116.3,0.9342346,-0.04296875,0.11319582,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-0.00861111,0.96313483,0.00878906,0.13339844,-,-,-,-,-,-,53.59999943,28,28,1010.23199463,100,1016.59997392,-,1016.59997392,-,-,-,-,-,-,-,-,-,-,-,130.99999738,2.44452691,38.03921509,-,-,-,1329,-,-,-,-,-,-,-,46.66666794,-,-,-,-,-,-3.90625,-0.78125,-,-,-,1.5625,-6.25,-3.90625,-,-,-,4.6875,-,4,-50,116.30000305,38.41284058,-121.46118838,10,3.39480782,3.27816463,-,64.39999914,62,-,13.57959938,-,7.36392355,-,-,31.94147491,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.85999995,0.83999997,-,-,0.75999999,0.81999999,-,-,-,-,-,27.57621002,30,12.94117641,17.5,12.95479298,-,-,-,-,-,0.01606167,8548.8046875,6,6.079,0,-0.3935293,14.28299999,12.89999962,-
Tue Mar 29 06:58:26 PDT 2016,29-Mar-2016 06:58:25.843,-121.46111461,38.4128177,24.984,3.0,-49.0,116.2,0.98013306,0.040893555,0.11081542,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-0.02131433,0.95361334,0.06005859,0.11020508,-,-,-,-,-,-,53.59999943,28,28,1010.21899414,100,1016.59997392,-,1016.59997392,-,-,-,-,-,-,-,-,-,-,-,130.99999738,-,38.03921509,-,-,-,1329,-,-,-,-,-,-,-,46.66666794,-,-,-,-,-,-3.90625,-0.78125,-,-,-,1.5625,-6.25,-3.90625,-,-,-,4.6875,-,3,-49,116.19999695,38.4128177,-121.46111461,10,3.39480782,-,-,64.39999914,62,-,13.57959938,-,7.36392355,-,-,31.94147491,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.85999995,0.83999997,-,-,0.75999999,0.81999999,-,-,-,-,-,24.98399925,30,12.94117641,17.5,12.95479298,-,-,-,-,-,0.01606167,8548.8046875,7,7.44500017,0,-0.3935293,14.28299999,12.89999962,-
Tue Mar 29 06:58:27 PDT 2016,29-Mar-2016 06:58:26.855,-121.4610446,38.41278033,25.236103,3.0,-48.0,119.4,0.92419434,0.109944664,0.0854248,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-0.06656238,0.89306641,0.1484375,0.12607424,-,-,-,-,9.76000023,-,53.59999943,28,28,1010.23199463,100,1016.59997392,-,1016.59997392,-,1,-,-,-,-,-,-,-,-,-,130.99999738,-,38.03921509,-,-,-,1329,-,-,-,-,-,-,-,46.66666794,-,-,-,-,-,-3.90625,-0.78125,-,-,-,1.5625,-6.25,-3.90625,-,-,-,4.6875,-,3,-48,119.40000153,38.41278033,-121.4610446,11,3.39480782,-,-,64.39999914,62,-,13.57959938,-,7.36392355,-,-,31.94147491,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.85999995,0.83999997,-,-,0.75999999,0.81999999,-,-,-,-,-,25.23610306,30,12.94117641,17.5,12.95479298,-,-,-,-,-,0.01606167,8548.8046875,8,8.51200008,0,-0.3935293,14.28299999,12.89999962,-
Tue Mar 29 06:58:28 PDT 2016,29-Mar-2016 06:58:27.854,-121.46097786,38.41278491,21.38703,3.0,-48.0,107.1,0.9600423,0.10579427,0.08318686,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12.15686321,0.01147197,0.96337891,0.15527344,0.16489258,9.8039217,4.70588255,-,-,9.76000023,-,53.59999943,28,28,1010.21899414,100,1016.59997392,-,1016.59997392,-,1,-,-,-,-,-,-,-,-,-,130.99999738,-,38.03921509,-,-,-,1329,-,-,-,-,-,-,-,46.66666794,-,-,-,-,-,-3.90625,-0.78125,-,-,-,1.5625,-6.25,-3.90625,-,-,-,4.6875,-,3,-48,107.09999847,38.41278491,-121.46097786,11,3.39480782,-,-,64.39999914,62,-,13.57959938,-,7.36392355,-,-,31.94147491,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.85999995,0.83999997,-,-,0.75999999,0.81999999,-,-,-,1.96078432,-,21.38702965,30,12.94117641,17.5,12.95479298,-,-,-,-,-,0.01606167,8548.8046875,9,9.49400043,0,-0.3935293,14.28299999,12.89999962,-
